"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,826519,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,183813,3.2
"2",13,132990,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,29576,0.5
"3",14,113976,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,25348,0.4
"4",15,91577,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,20366,0.4
"5",16,70178,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,15607,0.3
"6",17,31637,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,7036,0.1
"7",22,97200,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,21617,0.4
"8",23,46014,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,10233,0.2
"9",24,22171,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,4931,0.1
"10",25,592069,278209151,"Developed-Roads",0,0,0,0,0,0,131673,2.3
"11",31,8068,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,1794,0
"12",32,38655,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,8597,0.2
"13",61,2,5090489,"NASS-Vineyard",214,210,77,0.839215686,0.823529412,0.301960784,0,0
"14",63,37734,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,8392,0.1
"15",64,32234,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,7169,0.1
"16",65,136213,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,30293,0.5
"17",68,2781,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,618,0
"18",69,2025,2081810,"NASS-Aquaculture",214,210,77,0.839215686,0.823529412,0.301960784,450,0
"19",101,21,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,5,0
"20",102,73,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,16,0
"21",103,4807,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,1069,0
"22",104,413,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,92,0
"23",105,1189,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,264,0
"24",106,4087,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,909,0
"25",107,16787,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,3733,0.1
"26",108,241467,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,53701,0.9
"27",109,167223,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,37190,0.7
"28",110,375622,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,83536,1.5
"29",111,697817,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,155191,2.7
"30",112,1092616,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,242992,4.3
"31",113,1537067,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,341835,6
"32",114,1974837,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,439193,7.7
"33",115,2418000,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,537750,9.5
"34",116,2605040,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,579347,10.2
"35",117,2426034,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,539537,9.5
"36",118,3086752,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,686477,12.1
"37",119,1675984,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,372730,6.6
"38",120,1120710,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,249240,4.4
"39",121,798887,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,177668,3.1
"40",122,469090,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,104323,1.8
"41",123,244038,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,54273,1
"42",124,145414,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,32339,0.6
"43",203,391,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,87,0
"44",204,5545,213842140,"Shrub Height = 0.4 meter",233,220,187,0.91372549,0.862745098,0.733333333,1233,0
"45",205,3317,162002292,"Shrub Height = 0.5 meter",231,217,182,0.905882353,0.850980392,0.71372549,738,0
"46",206,34672,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,7711,0.1
"47",207,19708,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,4383,0.1
"48",208,69112,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,15370,0.3
"49",209,18256,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,4060,0.1
"50",210,32608,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,7252,0.1
"51",211,30937,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,6880,0.1
"52",212,41344,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,9195,0.2
"53",213,27993,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,6225,0.1
"54",214,26102,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,5805,0.1
"55",215,15055,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,3348,0.1
"56",216,13306,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,2959,0.1
"57",217,8650,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,1924,0
"58",218,8387,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,1865,0
"59",219,5892,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,1310,0
"60",220,7143,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,1589,0
"61",221,5817,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,1294,0
"62",222,6318,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,1405,0
"63",223,5108,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,1136,0
"64",224,7214,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,1604,0
"65",225,3843,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,855,0
"66",226,7160,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,1592,0
"67",227,450,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,100,0
"68",228,1070,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,238,0
"69",229,169,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,38,0
"70",230,11,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,2,0
"71",301,64764,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,14403,0.3
"72",302,82413,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,18328,0.3
"73",303,305375,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,67914,1.2
"74",304,2202,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,490,0
"75",305,24804,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,5516,0.1
"76",306,187350,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,41666,0.7
"77",307,292159,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,64975,1.1
"78",308,283384,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,63023,1.1
"79",309,160336,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,35658,0.6
"80",310,328823,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,73128,1.3
